Date,Close
3/3/2015 16:00:00,668.43
3/4/2015 16:00:00,664.16
3/5/2015 16:00:00,670.49
3/6/2015 16:00:00,658.68
3/9/2015 16:00:00,660.34
3/10/2015 16:00:00,654.74
3/11/2015 16:00:00,660.77
3/12/2015 16:00:00,670.39
3/13/2015 16:00:00,674.51
3/16/2015 16:00:00,678.88
3/17/2015 16:00:00,672
3/18/2015 16:00:00,673.28
3/19/2015 16:00:00,680.67
3/20/2015 16:00:00,686.65
3/23/2015 16:00:00,687.34
3/24/2015 16:00:00,680.81
3/25/2015 16:00:00,665.97
3/26/2015 16:00:00,658.82
3/27/2015 16:00:00,662.72
3/30/2015 16:00:00,655.36
3/31/2015 16:00:00,650.54
4/1/2015 16:00:00,652.53
4/2/2015 16:00:00,652.39
4/6/2015 16:00:00,660.02
4/7/2015 16:00:00,658.46
4/8/2015 16:00:00,654.55
4/9/2015 16:00:00,651.72
4/10/2015 16:00:00,683.02
4/13/2015 16:00:00,683.73
4/14/2015 16:00:00,677.85
4/15/2015 16:00:00,677.6
4/16/2015 16:00:00,681.55
4/17/2015 16:00:00,683.95
4/20/2015 16:00:00,686.93
4/21/2015 16:00:00,692.52
4/22/2015 16:00:00,641.23
4/23/2015 16:00:00,635.6
4/24/2015 16:00:00,637.5
4/27/2015 16:00:00,643.75
4/28/2015 16:00:00,639.58
4/29/2015 16:00:00,630.07
4/30/2015 16:00:00,621.34
5/1/2015 16:00:00,634
5/4/2015 16:00:00,633.57
5/5/2015 16:00:00,625.67
5/6/2015 16:00:00,627.23
5/7/2015 16:00:00,628.82
5/8/2015 16:00:00,633.82
5/11/2015 16:00:00,635.67
5/12/2015 16:00:00,635.55
5/13/2015 16:00:00,635.32
5/14/2015 16:00:00,634.53
5/15/2015 16:00:00,632.37
5/18/2015 16:00:00,636.1
5/19/2015 16:00:00,636.75
5/20/2015 16:00:00,628.24
5/21/2015 16:00:00,633.36
5/22/2015 16:00:00,626.44
5/26/2015 16:00:00,622.16
5/27/2015 16:00:00,612.5
5/28/2015 16:00:00,629.42
5/29/2015 16:00:00,615.52
6/1/2015 16:00:00,614.9
6/2/2015 16:00:00,610.57
6/3/2015 16:00:00,610.89
6/4/2015 16:00:00,611.57
6/5/2015 16:00:00,613.8
6/8/2015 16:00:00,608.12
6/9/2015 16:00:00,605.79
6/10/2015 16:00:00,608.67
6/11/2015 16:00:00,605.86
6/12/2015 16:00:00,609.76
6/15/2015 16:00:00,604.17
6/16/2015 16:00:00,600.62
6/17/2015 16:00:00,606.84
6/18/2015 16:00:00,606.2
6/19/2015 16:00:00,615.31
6/22/2015 16:00:00,619.25
6/23/2015 16:00:00,615.4
6/24/2015 16:00:00,610.53
6/25/2015 16:00:00,607.38
6/26/2015 16:00:00,609.46
6/29/2015 16:00:00,600.05
6/30/2015 16:00:00,604.99
7/1/2015 16:00:00,606.57
7/2/2015 16:00:00,609.56
7/6/2015 16:00:00,607.17
7/7/2015 16:00:00,620.56
7/8/2015 16:00:00,612.85
7/9/2015 16:00:00,627.16
7/10/2015 16:00:00,639.42
7/13/2015 16:00:00,658
7/14/2015 16:00:00,655.46
