Date,Close
3/3/2015,668.43
3/4/2015,664.16
3/5/2015,670.49
3/6/2015,658.68
3/9/2015,660.34
3/10/2015,654.74
3/11/2015,660.77
3/12/2015,670.39
3/13/2015,674.51
3/16/2015,678.88
3/17/2015,672
3/18/2015,673.28
3/19/2015,680.67
3/20/2015,686.65
3/23/2015,687.34
3/24/2015,680.81
3/25/2015,665.97
3/26/2015,658.82
3/27/2015,662.72
3/30/2015,655.36
3/31/2015,650.54
4/1/2015,652.53
4/2/2015,652.39
4/6/2015,660.02
4/7/2015,658.46
4/8/2015,654.55
4/9/2015,651.72
4/10/2015,683.02
4/13/2015,683.73
4/14/2015,677.85
4/15/2015,677.6
4/16/2015,681.55
4/17/2015,683.95
4/20/2015,686.93
4/21/2015,692.52
4/22/2015,641.23
4/23/2015,635.6
4/24/2015,637.5
4/27/2015,643.75
4/28/2015,639.58
4/29/2015,630.07
4/30/2015,621.34
5/1/2015,634
5/4/2015,633.57
5/5/2015,625.67
5/6/2015,627.23
5/7/2015,628.82
5/8/2015,633.82
5/11/2015,635.67
5/12/2015,635.55
5/13/2015,635.32
5/14/2015,634.53
5/15/2015,632.37
5/18/2015,636.1
5/19/2015,636.75
5/20/2015,628.24
5/21/2015,633.36
5/22/2015,626.44
5/26/2015,622.16
5/27/2015,612.5
5/28/2015,629.42
5/29/2015,615.52
6/1/2015,614.9
6/2/2015,610.57
6/3/2015,610.89
6/4/2015,611.57
6/5/2015,613.8
6/8/2015,608.12
6/9/2015,605.79
6/10/2015,608.67
6/11/2015,605.86
6/12/2015,609.76
6/15/2015,604.17
6/16/2015,600.62
6/17/2015,606.84
6/18/2015,606.2
6/19/2015,615.31
6/22/2015,619.25
6/23/2015,615.4
6/24/2015,610.53
6/25/2015,607.38
6/26/2015,609.46
6/29/2015,600.05
6/30/2015,604.99
7/1/2015,606.57
7/2/2015,609.56
7/6/2015,607.17
7/7/2015,620.56
7/8/2015,612.85
7/9/2015,627.16
7/10/2015,639.42
7/13/2015,658
7/14/2015,655.46
7/15/2015,661.19
7/16/2015,658.46
7/17/2015,661.95
7/20/2015,678
7/21/2015,673.07
7/22/2015,725.82
7/23/2015,725.94
7/24/2015,728.79
7/27/2015,731.44
7/28/2015,730.78
7/29/2015,738.42
7/30/2015,744.16
7/31/2015,742.23
8/3/2015,743.04
8/4/2015,748.09
8/5/2015,757.77
8/6/2015,749.6
8/7/2015,749.12
8/10/2015,744.24
8/11/2015,745.66
8/12/2015,745.98
8/13/2015,743.6
8/14/2015,748.34
8/17/2015,754.03
8/18/2015,745.92
8/19/2015,745.28
8/20/2015,735.15
8/21/2015,720.01
8/24/2015,704.25
8/25/2015,695.39
8/26/2015,707.64
8/27/2015,727.17
8/28/2015,721.2
8/31/2015,710.01
9/1/2015,706.71
9/2/2015,723.87
9/3/2015,724.99
9/4/2015,719.23
9/8/2015,732.14
9/9/2015,718.83
9/10/2015,723.19
9/11/2015,729.06
9/14/2015,726.8
9/15/2015,732.08
9/16/2015,730.01
9/17/2015,730.2
9/18/2015,729.48
9/21/2015,731.19
9/22/2015,726.97
9/23/2015,731.57
9/24/2015,731.17
9/25/2015,730.28
9/28/2015,708.03
9/29/2015,708.54
9/30/2015,720.25
10/1/2015,724.43
10/2/2015,724.45
10/5/2015,728.08
10/6/2015,713.25
10/7/2015,720.16
10/8/2015,734.77
10/9/2015,732.93
10/12/2015,747.82
10/13/2015,750.42
10/14/2015,718.56
10/15/2015,723.81
10/16/2015,722.7
10/19/2015,718.64
10/20/2015,705.63
10/21/2015,665.67
10/22/2015,650.62
10/23/2015,649.72
10/26/2015,659.69
10/27/2015,656.55
10/28/2015,654.89
10/29/2015,648.2
10/30/2015,640.23
11/2/2015,624
11/3/2015,623.16
11/4/2015,614.98
11/5/2015,617.23
11/6/2015,612.4
11/9/2015,609.29
11/10/2015,628.88
11/11/2015,621.84
11/12/2015,614.68
11/13/2015,592.89
11/16/2015,588.74
11/17/2015,583.58
11/18/2015,594
11/19/2015,611.51
11/20/2015,536.19
11/23/2015,559.29
11/24/2015,577.79
11/25/2015,580.83
11/27/2015,576.62
11/30/2015,579.55
12/1/2015,580.74
12/2/2015,574.66
12/3/2015,565.31
12/4/2015,561.2
12/7/2015,551.75
12/8/2015,542.24
12/9/2015,548.01
12/10/2015,575.43
12/11/2015,565
12/14/2015,558.16
12/15/2015,554.86
12/16/2015,567.83
12/17/2015,554.89
12/18/2015,541.08
12/21/2015,522.01
12/22/2015,494.61
12/23/2015,497.48
12/24/2015,495.1
12/28/2015,493.52
12/29/2015,489.94
12/30/2015,485.79
12/31/2015,479.85
1/4/2016,448.81
1/5/2016,449.03
1/6/2016,426.67
1/7/2016,416
1/8/2016,413.29
1/11/2016,411.1
1/12/2016,404.26
1/13/2016,428.28
1/14/2016,454.3
1/15/2016,475.94
1/19/2016,469.47
1/20/2016,465.5
1/21/2016,461.2
1/22/2016,450.76
1/25/2016,442.17
1/26/2016,448.15
1/27/2016,442.64
1/28/2016,453.08
1/29/2016,452.97
2/1/2016,472.64
