Date,Close
3/3/2015,47
3/4/2015,46.53
3/5/2015,46.82
3/6/2015,46.11
3/9/2015,46.52
3/10/2015,46.09
3/11/2015,45.71
3/12/2015,46.69
3/13/2015,46.65
3/16/2015,47.02
3/17/2015,47.19
3/18/2015,47.92
3/19/2015,48.88
3/20/2015,48.73
3/23/2015,48.69
3/24/2015,48.96
3/25/2015,47.89
3/26/2015,47.54
3/27/2015,47.54
3/30/2015,47.99
3/31/2015,47.35
4/1/2015,46.51
4/2/2015,47.2
4/6/2015,47.26
4/7/2015,47.04
4/8/2015,47.62
4/9/2015,47.96
4/10/2015,48.17
4/13/2015,48.5
4/14/2015,48.3
4/15/2015,48.14
4/16/2015,48.25
4/17/2015,47.62
4/20/2015,47.97
4/21/2015,48.37
4/22/2015,48.34
4/23/2015,49.43
4/24/2015,51.84
4/27/2015,50.87
4/28/2015,50.61
4/29/2015,50.65
4/30/2015,49.58
5/1/2015,50.29
5/4/2015,50.45
5/5/2015,49.41
5/6/2015,48.93
5/7/2015,49.35
5/8/2015,49.78
5/11/2015,49.5
5/12/2015,49.71
5/13/2015,49.59
5/14/2015,50.56
5/15/2015,50.8
5/18/2015,51.18
5/19/2015,51.42
5/20/2015,51.03
5/21/2015,51.33
5/22/2015,51.48
5/26/2015,50.84
5/27/2015,51.59
5/28/2015,51.81
5/29/2015,51.96
6/1/2015,52.22
6/2/2015,51.73
6/3/2015,52.12
6/4/2015,51.72
6/5/2015,52.19
6/8/2015,51.53
6/9/2015,51.54
6/10/2015,52.69
6/11/2015,52.49
6/12/2015,52.63
6/15/2015,52.27
6/16/2015,52.97
6/17/2015,53.24
6/18/2015,54.11
6/19/2015,53.93
6/22/2015,53.9
6/23/2015,54.12
6/24/2015,53.71
6/25/2015,54.07
6/26/2015,54.62
6/29/2015,53.55
6/30/2015,53.62
7/1/2015,53.89
7/2/2015,54.24
7/6/2015,54.31
7/7/2015,54.38
7/8/2015,53.39
7/9/2015,54.05
7/10/2015,54.57
7/13/2015,55.7
7/14/2015,55.75
7/15/2015,55.34
7/16/2015,55.74
7/17/2015,55.69
7/20/2015,56.21
7/21/2015,56.2
7/22/2015,56.69
7/23/2015,56.56
7/24/2015,57.29
7/27/2015,56.98
7/28/2015,57.14
7/29/2015,57.51
7/30/2015,58.06
7/31/2015,57.93
8/3/2015,58.19
8/4/2015,58.7
8/5/2015,59.01
8/6/2015,57.23
8/7/2015,57.2
8/10/2015,56.27
8/11/2015,56.35
8/12/2015,56.38
8/13/2015,56.85
8/14/2015,57.1
8/17/2015,57.74
8/18/2015,57.83
8/19/2015,57.59
8/20/2015,55.81
8/21/2015,52.84
8/24/2015,50.34
8/25/2015,51.09
8/26/2015,53.96
8/27/2015,55.95
8/28/2015,55.63
8/31/2015,54.71
9/1/2015,53.5
9/2/2015,55.26
9/3/2015,54.69
9/4/2015,54.28
9/8/2015,55.21
9/9/2015,54.69
9/10/2015,55.37
9/11/2015,56.53
9/14/2015,56.29
9/15/2015,56.91
